,Missouri River at Toston - Natural Streamflows,,,,,,,,,,,,
,Historical Flows plus historical depletions for 13 upstream node basins,,,,,,,,,,,,
,Calendar year            Units -KAF,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
,,,,,,,,,,,,,
1977,213.65,205.25,219.57,294.58,193.81,612.84,492.86,341.36,202.91,270.99,262.01,237.59,3547.41
1978,218.62,200.22,324.47,433.83,584.62,1067.62,853.28,540.49,323.78,286.51,265.42,222.17,5321.03
1979,162.53,194.67,300.80,382.00,663.59,843.30,597.67,453.66,320.24,154.14,225.97,212.16,4510.72
1980,165.58,203.69,229.55,349.72,685.54,1117.60,788.01,407.83,315.64,262.69,284.73,263.42,5073.99
1981,220.94,195.85,226.63,277.54,802.53,1310.94,764.58,552.50,271.39,238.72,263.35,238.88,5363.84
1982,183.69,224.97,267.36,350.61,715.55,1336.90,1105.72,587.77,349.65,307.47,327.23,272.09,6029.00
1983,255.37,211.81,293.11,325.56,571.00,1029.27,981.64,588.96,371.06,378.35,392.95,234.34,5633.43
1984,276.29,240.46,297.18,394.84,900.66,1428.02,1021.75,642.80,389.20,338.26,366.53,248.35,6544.34
1985,217.45,192.81,266.61,439.33,482.40,699.50,573.31,356.40,212.25,299.05,206.91,208.14,4154.16
1986,207.10,211.88,280.36,348.51,536.67,1147.36,615.91,472.03,300.27,301.01,272.63,200.96,4894.70
1987,172.65,188.47,212.64,226.67,179.82,587.44,476.82,372.06,326.58,180.97,197.90,171.18,3293.19
1988,157.06,170.49,186.61,259.04,394.58,664.86,543.73,351.44,173.13,131.25,171.47,189.36,3393.03
1989,154.77,115.53,236.33,301.46,406.27,759.18,569.90,332.47,303.40,171.23,254.58,189.97,3795.09
1990,180.13,156.14,204.85,284.75,254.18,787.49,553.01,386.33,350.20,168.49,223.90,158.63,3708.09
1991,155.94,168.12,172.22,198.30,463.28,950.57,703.34,421.66,230.93,187.86,244.97,204.54,4101.71
1992,163.38,165.93,201.47,200.49,276.64,458.33,552.27,416.13,226.22,184.68,212.58,161.24,3219.33
1993,150.10,142.78,249.76,252.75,673.49,912.71,667.50,533.08,422.34,293.19,285.67,222.09,4805.45
1994,214.31,157.70,232.43,307.69,391.00,522.73,450.64,424.60,257.33,153.07,204.81,181.83,3498.13
1995,161.53,214.46,258.55,310.21,611.27,1326.10,949.56,543.40,364.29,322.76,339.35,270.06,5671.53
1996,216.96,255.45,295.16,447.60,755.28,1531.48,650.32,486.03,252.51,245.42,281.47,230.78,5648.46
1997,257.94,233.89,299.00,389.11,1037.31,1679.21,855.63,592.50,392.06,331.32,342.51,266.31,6676.79
1998,262.88,236.68,307.75,375.69,614.71,959.34,1057.35,582.76,325.37,251.47,275.21,235.33,5484.53
1999,258.66,223.52,269.35,305.90,539.60,1143.08,724.64,403.60,280.96,189.62,225.36,222.42,4786.70
2000,217.55,209.86,226.27,251.03,318.69,624.54,547.74,398.97,191.88,183.03,191.96,188.18,3549.71
2001,188.65,167.66,213.14,200.41,332.69,415.91,530.47,424.08,194.96,118.32,164.54,157.75,3108.59
2002,160.25,141.72,171.38,202.99,231.76,729.62,581.25,316.26,214.17,129.21,168.68,164.38,3211.67
