South Platte River at South Platte, CO		
Platte River Basin
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in acre-feet		
Recon = reconstruction		
Observed = natural flow record from Denver Water		
Recon Interval: 1634-2002		
Observed Interval: 1916-2002		
PI: C. Woodhouse
Reference: n/a		
URL: http://treeflow.info/platte/splattesplatte.html

==========
Year	   Recon	Observed       
1908		149053     -9999	
1909		382176     -9999	
1910		198114     -9999	
1911		230383     -9999	
1912		400495     -9999	
1913		223448     -9999	
1914		422114     -9999	
1915		292544     -9999	
1916		262745    262257
1917		372675		353943
1918		284623		347790
1919		300926		327513
1920		269803		369026
1921		529993		642548
1922		201074		288270
1923		301115		399886
1924		393541		388139
1925		166647		184946
1926		445550		430504
1927		231087		262161
1928		462301		277303
1929		229789		259441
1930		358022		318374
1931		255426		237936
1932		174555		174794
1933		327005		318299
1934		191276		156166
1935		234654		212297
1936		253585		340955
1937		287344		205738
1938		372793		387867
1939		226391		273678
1940		187045		130805
1941		397118		310248
1942		532980		669430
1943		270463		236543
1944		266851		266597
1945		251408		293766
1946		159439		202068
1947		519892		425379
1948		348213		436277
1949		377340		500653
1950		145227		171788
1951		241471		232172
1952		341131		297186
1953		200115		212031
1954		134186		107071
1955		224639		159693
1956		185455		177710
1957		434590		482559
1958		359922		281412
1959		194622		188259
1960		305522		251501
1961		229391		256293
1962		369547		296898
1963		120733		104389
1964		199382		161166
1965		475509		438423
1966		170442		151352
1967		228951		192035
1968		223080		233682
1969		364197		379360
1970		387179		617264
1971		284377		297806
1972		178490		230315
1973		346494		534641
1974		211099		251906
1975		292803		302290
1976		196715		224766
1977		146312		149640
1978		246227		157376
1979		376924		327506
1980		263038		443749
1981		160463		140089
1982		283279		253534
1983		610966		549440
1984		352047		535571
1985		497345		481608
1986		327189		300783
1987		299235		410881
1988		186227		275358
1989		217049		243237
1990		247297		220728
1991		308480		237569
1992		242142		231408
1993		319026		224163
1994		235520		216288
1995		584232		513655
1996		338156		255077
1997		395836		322298
1998		301871		360989
1999		450790		437315
2000		201689		241060
2001		243528		213432
2002		 74465		 52728
