"Jackson Lake at Dam on Snake River near Moran, WY",,
Pacific Northwest Basins,,
"Annual (Water Year Year, Oct-Sep) streamflow reconstruction",,
Values in acre-feet,,
Recon  = reconstructed flows,,
Observed = observed flow record (see Reference or URLs below for details),,
Recon Interval: 1591-2005,,
Observed Interval: 1910-2005,,
PI: E. Wise,,
"Reference: Wise, E. K.  2010. Tree ring record of streamflow and drought in the upper Snake River.  Water Resources Research, 46,
W11529, doi:10.1029/2010WR009282.",,
URL: http://treeflow.info/pnw/snakemoran.html,,
,,
,,
Calendar Year,Observed,Recon 
1958,786524,1005179
1959,906407,935746
1960,769465,868877
1961,825621,874241
1962,1158242,1146784
1963,925150,1130190
1964,1016854,1177988
1965,1327238,1210054
1966,870278,1083592
1967,1110851,1199225
1968,997703,1139467
1969,1009621,985315
1970,1064670,966583
1971,1501973,1301524
1972,1377139,1187533
1973,875306,873509
1974,1472694,1296625
1975,1129758,1215554
1976,1253850,1005925
1977,474554,609877
1978,1124292,1547482
1979,919810,1007386
1980,930447,1203745
1981,824375,1013724
1982,1375452,1313803
1983,1183249,1110710
1984,1296257,1056564
1985,982629,1005353
1986,1500908,1441299
1987,698238,887756
1988,684964,711373
1989,1024714,977048
1990,828454,807384
1991,968787,969926
1992,710231,740515
1993,1038942,1123823
1994,681321,977376
1995,1197343,1178164
1996,1533216,1169696
1997,1869441,1275286
1998,1241803,1278378
1999,1363710,1120357
2000,894887,875886
2001,629014,529034
2002,909995,774652
2003,905839,877759
2004,904269,986895
2005,827792,927311
