Green River near Greendale, UT		
Upper Colorado River Basin		
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in acre-feet		
Recon = reconstruction		
Observed = natural flow record from Bureau of Reclamation		
Recon Interval: 1615-1999		
Observed Interval: 1914-1995		
PI: F. A. Barnett		
Reference: Barnett, F. A. 2007. Upper Green River Basin Streamflow 
Reconstructions and Drought Variability. M.S. Thesis, Department of Civil and 
Architectural Engineering, University of Wyoming, 118 pp.
URL: http://treeflow.info/upco/greengreendale.html 		

==========
Year   Recon    Observed
1860   1770998     -9999   
1861   1100183     -9999   
1862   2896472     -9999   
1863   2130484     -9999   
1864   1651755     -9999   
1865   1977249     -9999   
1866   2865055     -9999   
1867   3004222     -9999   
1868   2582381     -9999   
1869   1764338     -9999   
1870   1468255     -9999   
1871    649693     -9999   
1872   2309418     -9999   
1873   2218501     -9999   
1874   1557579     -9999   
1875   2583577     -9999   
1876   2068654     -9999   
1877   1225755     -9999   
1878   1505392     -9999   
1879    975104     -9999   
1880   1719433     -9999   
1881   1774259     -9999   
1882   1119649     -9999   
1883   1793960     -9999   
1884   2462939     -9999   
1885   2430943     -9999   
1886   1882952     -9999   
1887    991806     -9999   
1888   1561946     -9999   
1889   1040327     -9999   
1890   2212242     -9999   
1891   2480137     -9999   
1892   1771294     -9999   
1893   1237998     -9999   
1894   1898177     -9999   
1895   2636893     -9999   
1896   1267984     -9999   
1897   2081971     -9999   
1898   1987712     -9999   
1899   1433356     -9999   
1900   1585458     -9999   
1901   1571387     -9999   
1902   1151264     -9999   
1903   2106296     -9999   
1904   1945945     -9999   
1905   2216705     -9999   
1906   2289783     -9999   
1907   2534730     -9999   
1908   1807675     -9999   
1909   2533014     -9999   
1910   1852879     -9999   
1911   2007456     -9999   
1912   2402425     -9999   
1913   2225932     -9999   
1914   2739132   2846409
1915   1327747   1481515
1916   2361476   2562145
1917   2887891   3158036
1918   2364383   2442859
1919   1186829   1183695
1920   1914227   2443098
1921   2553951   2921301
1922   2071833   2777978
1923   2624462   2681415
1924   1449988   1494759
1925   1746195   2086653
1926   2672957   1625314
1927   2257372   2421459
1928   2438790   2199686
1929   2345150   1942685
1930   1912148   2027415
1931   1800729    896378
1932   2006687   2020135
1933   1407637   1556512
1934    717642    659365
1935   1727750   1561284
1936   1795336   2484966
1937   2157537   1776729
1938   2160823   2171874
1939   1607851   1384098
1940    917593    931891
1941   2022015   1682705
1942   2526653   1816399
1943   1894217   2463003
1944   2125488   2046733
1945   1499222   1756725
1946   1244136   1922165
1947   2477795   2512562
1948   2071215   1712634
