Rio Grande at Otowi Bridge, NM (NRCS flows)
Rio Grande Basin
Annual (Water Year, Oct-Sep) streamflow reconstruction
Values in acre-feet
Recon = reconstruction
Observed = gaged flow record, corrected by NRCS to remove San Juan-Chama transfers
Recon Interval: 1450-2002	
Observed Interval: 1958-2000		
PI: D. Meko
Reference: n/a		
URL: http://treeflow.info/riogr/riograndeotowiNRCS.html	

==========
Year	   Recon  Observed
1736    921426     -9999
1737    561410     -9999
1738   1153478     -9999
1739   1078532     -9999
1740    604920     -9999
1741    985646     -9999
1742    819918     -9999
1743   1645391     -9999
1744    785908     -9999
1745   1018773     -9999
1746   1416244     -9999
1747   1877089     -9999
1748    263055     -9999
1749   1744948     -9999
1750    478748     -9999
1751    924289     -9999
1752    530766     -9999
1753   1130233     -9999
1754    848790     -9999
1755    678297     -9999
1756    561954     -9999
1757    621083     -9999
1758    986889     -9999
1759    755065     -9999
1760   1014437     -9999
1761   1048633     -9999
1762   1114133     -9999
1763    427538     -9999
1764   1043361     -9999
1765    539063     -9999
1766   1322173     -9999
1767    690036     -9999
1768   1437407     -9999
1769    917860     -9999
1770    848790     -9999
1771   1658844     -9999
1772    595841     -9999
1773    342522     -9999
1774    695948     -9999
1775    752653     -9999
1776    663148     -9999
1777    650793     -9999
1778    515652     -9999
1779    823582     -9999
1780    552394     -9999
1781    765902     -9999
1782    599607     -9999
1783   1372851     -9999
1784   1469104     -9999
1785   1047820     -9999
1786    609689     -9999
1787   1431011     -9999
1788    575294     -9999
1789    529379     -9999
1790   1299302     -9999
1791   1376183     -9999
1792   1190168     -9999
1793   1057310     -9999
1794    721853     -9999
1795    627316     -9999
1796    905311     -9999
1797   1317694     -9999
1798    458313     -9999
1799   1179486     -9999
1800   1121611     -9999
1801    594744     -9999
1802   1137929     -9999
1803    660069     -9999
1804    895014     -9999
1805    556641     -9999
1806    545476     -9999
1807   1224933     -9999
1808    746983     -9999
1809    629814     -9999
1810    698720     -9999
1811   1221612     -9999
1812    930131     -9999
1813    550630     -9999
1814    712537     -9999
1815   1275960     -9999
1816   1717592     -9999
1817   1178000     -9999
1818    427828     -9999
1819    660005     -9999
1820    559074     -9999
1821   1280545     -9999
1822    496954     -9999
1823    947238     -9999
1824    521635     -9999
1825    939921     -9999
1826   1178800     -9999
1827    753091     -9999
1828   1722260     -9999
1829    531127     -9999
1830    830638     -9999
1831   1221020     -9999
1832   1216413     -9999
1833   1033595     -9999
1834    567649     -9999
1835   1037712     -9999
1836    889479     -9999
1837   1417893     -9999
1838   1610671     -9999
1839   1365419     -9999
1840   1252066     -9999
1841   1059054     -9999
1842    479259     -9999
1843   1177658     -9999
1844    970382     -9999
1845    423373     -9999
1846    651361     -9999
1847    332930     -9999
1848   1021443     -9999
1849   2029638     -9999
1850   1133635     -9999
1851    286426     -9999
1852   1082513     -9999
1853   1338422     -9999
1854    931936     -9999
1855    737057     -9999
1856   1205612     -9999
1857    785528     -9999
1858   1093588     -9999
1859    781350     -9999
1860    986793     -9999
1861    288880     -9999
1862   1845334     -9999
1863    777120     -9999
1864    568309     -9999
1865   1144789     -9999
1866   1647146     -9999
1867   1741062     -9999
1868   1151356     -9999
1869   1259004     -9999
1870    567814     -9999
1871    479864     -9999
1872   1057002     -9999
1873    629997     -9999
1874    704296     -9999
1875    680338     -9999
1876    659621     -9999
1877    921783     -9999
1878    821668     -9999
1879    400458     -9999
1880    588950     -9999
1881    609807     -9999
1882    655224     -9999
1883    575349     -9999
1884   1319612     -9999
1885   1269790     -9999
1886    890341     -9999
1887    578425     -9999
1888   1050770     -9999
1889    704842     -9999
1890    803395     -9999
1891   1098156     -9999
1892    948709     -9999
1893    506929     -9999
1894    661094     -9999
1895   1161220     -9999
1896    392121     -9999
1897   1421471     -9999
1898    975097     -9999
1899    362368     -9999
1900    801916     -9999
1901    774788     -9999
1902    301001     -9999
1903   1483271     -9999
1904    418435     -9999
1905   1337255     -9999
1906   1063065     -9999
1907   1366876     -9999
1908    713574     -9999
1909    975758     -9999
1910    953226     -9999
1911   1303844     -9999
1912   1275218     -9999
1913    803083     -9999
1914   1771366     -9999
1915   1059259     -9999
1916   1137708     -9999
1917   1332208     -9999
1918    678165     -9999
1919   1111760     -9999
1920   1339071     -9999
1921   1493226     -9999
1922    746332     -9999
1923    723324     -9999
1924   1135615     -9999
1925    540528     -9999
1926   1214410     -9999
1927   1025611     -9999
1928    944488     -9999
1929    856228     -9999
1930    979644     -9999
1931    615091     -9999
1932   1292518     -9999
1933    810906     -9999
1934    460004     -9999
1935    986793     -9999
1936    693120     -9999
1937   1117378     -9999
1938   1190398     -9999
1939    712606     -9999
1940    649091     -9999
1941   1787581     -9999
1942   1477674     -9999
1943    740781     -9999
1944    943847     -9999
1945    736128     -9999   
1946    521534     -9999   
1947   1160432     -9999   
1948   1043968     -9999   
1949   1380726     -9999   
1950    475787     -9999   
1951    446386     -9999   
1952   1268068     -9999   
1953    572734     -9999   
1954    506340     -9999   
1955    758586     -9999   
1956    493402     -9999   
1957   1400815     -9999   
1958   1074462   1619400
1959    368961    409200
1960   1123243    814300
1961    565287    734600
1962   1017983   1085900
1963    579435    465100
1964    671102    383700
1965   1550912   1263700
1966    849202    864600
1967    562281    582500
1968    731362    865600
1969   1240227   1028400
1970   1009140    904900
1971    615091    567400
1972    637740    468000
1973   1471669   1576900
1974    581405    483900
1975   1154037   1092700
1976    557181    733600
1977    316134    285400
1978   1283403    642100
1979   1409669   1881200
1980    962605   1357500
1981    508948    374900
1982   1041340   1097600
1983   1760751   1438300
1984   1353426   1258500
1985   1630465   2077400
1986   1652905   1673400
