Little Popo Agie River near Lander, WY		
Upper Missouri River Basin		
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in acre-feet		
Recon = reconstruction		
Observed = USGS gage record 		
Recon Interval: 1560-1999		
Observed Interval: 1946-1999		
PI: T. Watson		
Reference: Watson, Thomas A., F. Anthony Barnett, Stephen T. Gray, and Glenn A. 
Tootle, 2009. Reconstructed Streamflows for the Headwaters of the Wind River,
Wyoming, United States. Journal of the American Water Resources
Association (JAWRA) 45(1):224-236.
URL: http://treeflow.info/upco/littlepopoagie.html
Note: This is the PP1/3 model from Watson et al. 2009 		

==========
Year     Recon  Observed
1822     36144     -9999     
1823     49477     -9999     
1824     29734     -9999     
1825     59224     -9999     
1826     56371     -9999     
1827     51451     -9999     
1828     78353     -9999     
1829     41433     -9999     
1830     54065     -9999     
1831     57151     -9999     
1832     77448     -9999     
1833     43587     -9999     
1834     38514     -9999     
1835     45441     -9999     
1836     49523     -9999     
1837     70681     -9999     
1838     75072     -9999     
1839     85641     -9999     
1840     54452     -9999     
1841     63285     -9999     
1842     13172     -9999    
1843     89042     -9999     
1844     58115     -9999     
1845      8449     -9999     
1846     43155     -9999     
1847     43175     -9999     
1848     31427     -9999     
1849     86611     -9999     
1850     41407     -9999     
1851     35640     -9999     
1852     50067     -9999     
1853     70312     -9999     
1854     58688     -9999     
1855      1754     -9999     
1856     47761     -9999     
1857     37891     -9999     
1858     57063     -9999     
1859     53614     -9999     
1860     55691     -9999     
1861     17370     -9999     
1862     66694     -9999     
1863     27297     -9999     
1864     48893     -9999     
1865     40607     -9999     
1866     78903     -9999     
1867     68310     -9999     
1868     47714     -9999     
1869     56222     -9999     
1870     36074     -9999     
1871     18533     -9999     
1872     51193     -9999     
1873     55521     -9999     
1874     25429     -9999     
1875     60477     -9999     
1876     48558     -9999     
1877     50552     -9999     
1878     50891     -9999     
1879     46970     -9999     
1880     50117     -9999     
1881     56078     -9999     
1882     42550     -9999     
1883     53246     -9999     
1884     58812     -9999     
1885     54601     -9999     
1886     27372     -9999     
1887     24361     -9999     
1888     38300     -9999     
1889     27984     -9999     
1890     36433     -9999     
1891     63414     -9999     
1892     51221     -9999     
1893     25826     -9999     
1894     45036     -9999     
1895     59922     -9999     
1896     36119     -9999     
1897     57609     -9999     
1898     56535     -9999     
1899     45057     -9999     
1900     32720     -9999     
1901     43649     -9999     
1902     23566     -9999     
1903     57986     -9999     
1904     55667     -9999     
1905     53609     -9999     
1906     62658     -9999     
1907     65891     -9999     
1908     32019     -9999     
1909     67029     -9999     
1910     28805     -9999     
1911     57537     -9999     
1912     54496     -9999     
1913     59364     -9999     
1914     50986     -9999     
1915     47171     -9999     
1916     53132     -9999     
1917     67614     -9999     
1918     48758     -9999     
1919     26683     -9999     
1920     59410     -9999     
1921     77443     -9999     
1922     35742     -9999     
1923     55099     -9999     
1924     54011     -9999     
1925     57921     -9999     
1926     65607     -9999     
1927     48527     -9999     
1928     72901     -9999     
1929     64068     -9999     
1930     22177     -9999     
1931     56610     -9999     
1932     58839     -9999     
1933     43418     -9999     
1934      8645     -9999     
1935     42947     -9999     
1936     37946     -9999     
1937     59959     -9999     
1938     52706     -9999     
1939     22972     -9999     
1940     45853     -9999     
1941     46811     -9999     
1942     63246     -9999     
1943     37585     -9999     
1944     52474     -9999     
1945     58025     -9999     
1946     21327     32848
1947     69170     72056
1948     42516     33767
1949     58266     52238
1950     65255     72681
1951     60757     51608
1952     59992     69392
1953     20076     36230
1954     20430     38753
1955     21221     25020
1956     49967     44352
1957     72021     61860
1958     45495     37854
1959     37055     24537
1960     40234     18772
1961     33798     25286
1962     75237     45297
1963     49269     51466
1964     39430     44831
1965     58418     85902
1966     35673     28995
1967     58252     68384
1968     44285     48839
1969     40709     57528
1970     59320     42694
1971     53401     72900
1972     60282     60729
1973     55196     62369
1974     61672     60174
1975     53862     55664
1976     49789     39921
1977     27943     19878
1978     54433     52979
1979     42189     44662
1980     57847     82208
1981     52435     31960
1982     51014     46928
1983     78068     98085
1984     57356     63967
1985     37812     29927
1986     83871    101819
1987     45523     43741
1988     44727     32259
1989     25056     34284
1990     55943     34842
1991     62642     55462
1992     44137     24790
1993     62525     47340
1994     35316     37038
1995     68569     82891
1996     56744     49024
1997     57398     65600
1998     62703     58838
1999     66614     81727
