Green River near Green River, WY	 (Barnett)	
Upper Colorado River Basin		
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in acre-feet		
Recon = reconstruction		
Observed = natural flow record from Bureau of Reclamation		
Recon Interval: 1615-1999		
Observed Interval: 1914-1995		
PI: F. A. Barnett		
Reference: Barnett, F. A. 2007. Upper Green River Basin Streamflow 
Reconstructions and Drought Variability. M.S. Thesis, Department of Civil and 
Architectural Engineering, University of Wyoming, 118 pp.
URL: http://treeflow.info/upco/greengreenrivwybarnett.html 		

==========
Year   Recon    Observed
1861   1058257     -9999      
1862   2097276     -9999      
1863   1490860     -9999      
1864   1097024     -9999      
1865   1402078     -9999      
1866   2145646     -9999      
1867   1939360     -9999      
1868   1759059     -9999      
1869   1359967     -9999      
1870   1174764     -9999      
1871    574505     -9999      
1872   1595403     -9999      
1873   1529423     -9999      
1874   1243859     -9999      
1875   1804941     -9999      
1876   1545236     -9999      
1877    901810     -9999      
1878   1139433     -9999      
1879    767493     -9999      
1880   1205059     -9999      
1881   1228270     -9999      
1882    738039     -9999      
1883   1070871     -9999      
1884   1668837     -9999      
1885   1712041     -9999      
1886   1341892     -9999      
1887    882018     -9999      
1888   1209864     -9999      
1889    760554     -9999      
1890   1531805     -9999      
1891   1738908     -9999      
1892   1264233     -9999      
1893    850271     -9999      
1894   1366170     -9999      
1895   1864793     -9999      
1896    774302     -9999      
1897   1467260     -9999      
1898   1513908     -9999      
1899    885620     -9999      
1900   1391585     -9999      
1901   1042114     -9999      
1902    727429     -9999      
1903   1350344     -9999      
1904   1278002     -9999      
1905   1601988     -9999      
1906   1614812     -9999      
1907   1907434     -9999      
1908   1601560     -9999      
1909   1829594     -9999      
1910   1570404     -9999      
1911   1449109     -9999      
1912   1643383     -9999      
1913   1570060     -9999      
1914   1999474   1969354
1915   1095542    920299
1916   1796411   1863298
1917   1857129   2181397
1918   1735953   1871698
1919    861256    786999
1920   1185469   1596098
1921   1762157   1880898
1922   1418775   1915998
1923   1733775   1782398
1924   1081093   1179799
1925   1331466   1503598
1926   1951844   1210499
1927   1647163   1693098
1928   1898665   1648498
1929   1392783   1242299
1930   1345794   1461298
1931   1203468    696099
1932   1353449   1242399
1933    941117    978799
1934    617178    466299
1935   1227351    991099
1936   1180744   1679898
1937   1631381   1298198
1938   1461388   1441098
1939   1356161   1077599
1940    698302    571499
1941   1517538   1155499
1942   1683533   1360398
1943   1414973   1778898
1944   1553729   1416498
1945   1042942   1205899
1946   1149565   1305320
1947   1877459   1887736
1948   1524392   1284411
1949   1729373   1315912
1950   1567156   2066277
1951   1612106   2102818
1952   1476017   1708267
1953   1103397   1219509
1954    971939   1296282
1955    915581    946739
1956   1437729   1764951
1957   1791057   1619723
1958   1098430   1237664
1959   1091054   1044453
1960   1300695    815501
1961   1088189    705204
1962   1965309   1596745
1963   1379556   1082856
1964   1165930   1364274
1965   1651418   1975443
1966   1380907   1162022
1967   1594707   1625081
1968   1420183   1346607
1969   1773892   1536253
1970   1081910   1054106
1971   1422947   1939605
1972   1593467   2193787
1973   1530089   1381707
1974   1529091   1673432
1975   1551890   1526271
1976   1586823   1671165
1977    719464    575379
1978   1649697   1714130
1979   1365975   1143045
1980   1509365   1541978
1981    894038    932836
1982   1515028   1898747
1983   1950620   2245982
1984   1760364   1876792       
1985   1272018   1249762       
1986   2051038   2525422       
1987   1721061   1439903       
1988    845616    937765       
1989   1001482   1030369       
1990   1175894   1086353       
1991   1459051   1282867       
1992   1136608    852047       
1993   1689751   1368696       
1994   1094138    957825       
1995   1632509   1606072       
1996   1643636     -9999      
1997   1202820     -9999      
1998   1811068     -9999      
1999   1482016     -9999
