Year Month Historical
1935	2	91553.0000	
1935	3	94207.0000	
1935	4	144829.0000	
1935	5	362946.0000	
1935	6	469670.0000	
1935	7	273702.0000	
1935	8	151852.0000	
1935	9	90385.0000	
1935	10	68239.0000	
1935	11	57962.0000	
1935	12	50736.0000	
1936	1	74693.0000	
1936	2	48672.0000	
1936	3	103276.0000	
1936	4	218089.0000	
1936	5	461805.0000	
1936	6	369536.0000	
1936	7	183308.0000	
1936	8	115030.0000	
1936	9	90695.0000	
1936	10	60584.0000	
1936	11	50856.0000	
1936	12	49528.0000	
1937	1	37449.0000	
1937	2	49314.0000	
1937	3	76829.0000	
1937	4	127947.0000	
1937	5	354064.0000	
1937	6	405727.0000	
1937	7	235183.0000	
1937	8	137823.0000	
1937	9	97143.0000	
1937	10	74154.0000	
1937	11	96119.0000	
1937	12	116022.0000	
1938	1	112762.0000	
1938	2	104209.0000	
1938	3	138673.0000	
1938	4	216253.0000	
1938	5	423213.0000	
1938	6	635406.0000	
1938	7	282543.0000	
1938	8	130013.0000	
1938	9	85418.0000	
1938	10	80455.0000	
1938	11	79184.0000	
1938	12	66310.0000	
1939	1	77749.0000	
1939	2	78997.0000	
1939	3	92295.0000	
1939	4	213918.0000	
1939	5	371787.0000	
1939	6	265596.0000	
1939	7	189742.0000	
1939	8	113542.0000	
1939	9	68592.0000	
1939	10	59983.0000	
1939	11	53649.0000	
1939	12	77964.0000	
1940	1	62308.0000	
1940	2	92082.0000	
1940	3	159128.0000	
1940	4	341742.0000	
1940	5	421755.0000	
1940	6	415092.0000	
1940	7	186641.0000	
1940	8	116528.0000	
1940	9	94715.0000	
1940	10	112923.0000	
1940	11	130897.0000	
1940	12	96374.0000	
1941	1	102648.0000	
1941	2	106714.0000	
1941	3	147556.0000	
1941	4	218948.0000	
1941	5	403187.0000	
1941	6	363672.0000	
1941	7	220852.0000	
1941	8	136596.0000	
1941	9	156006.0000	
1941	10	111355.0000	
1941	11	128505.0000	
1941	12	186882.0000	
1942	1	99896.0000	
1942	2	143615.0000	
1942	3	115518.0000	
1942	4	263836.0000	
1942	5	367243.0000	
1942	6	463490.0000	
1942	7	298739.0000	
1942	8	159340.0000	
1942	9	92281.0000	
1942	10	68124.0000	
1942	11	87132.0000	
1942	12	87585.0000	
1943	1	85635.0000	
1943	2	86682.0000	
1943	3	100645.0000	
1943	4	409844.0000	
1943	5	399630.0000	
1943	6	557208.0000	
1943	7	394832.0000	
1943	8	194113.0000	
1943	9	98433.0000	
1943	10	73979.0000	
1943	11	78752.0000	
1943	12	66776.0000	
1944	1	58594.0000	
1944	2	71964.0000	
1944	3	63860.0000	
1944	4	119225.0000	
1944	5	271329.0000	
1944	6	289715.0000	
1944	7	180961.0000	
1944	8	115625.0000	
1944	9	85345.0000	
1944	10	74744.0000	
1944	11	81627.0000	
1944	12	63303.0000	
1945	1	91351.0000	
1945	2	101919.0000	
1945	3	102438.0000	
1945	4	175368.0000	
1945	5	424132.0000	
1945	6	429611.0000	
1945	7	259559.0000	
1945	8	129866.0000	
1945	9	101314.0000	
1945	10	90802.0000	
1945	11	104345.0000	
1945	12	85872.0000	
1946	1	132807.0000	
1946	2	90655.0000	
1946	3	139511.0000	
1946	4	254812.0000	
1946	5	480485.0000	
1946	6	486132.0000	
1946	7	291011.0000	
1946	8	158281.0000	
1946	9	103475.0000	
1946	10	90735.0000	
1946	11	95061.0000	
1946	12	149735.0000	
1947	1	85137.0000	
1947	2	112900.0000	
1947	3	147533.0000	
1947	4	244725.0000	
1947	5	477816.0000	
1947	6	486593.0000	
1947	7	234724.0000	
1947	8	144126.0000	
1947	9	116193.0000	
1947	10	165726.0000	
1947	11	155071.0000	
1947	12	104359.0000	
1948	1	139083.0000	
1948	2	115527.0000	
1948	3	135940.0000	
1948	4	231366.0000	
1948	5	538220.0000	
1948	6	862507.0000	
1948	7	350148.0000	
1948	8	212321.0000	
1948	9	106038.0000	
1948	10	92793.0000	
1948	11	87170.0000	
1948	12	79228.0000	
1949	1	58180.0000	
1949	2	70646.0000	
1949	3	129498.0000	
1949	4	270533.0000	
1949	5	565142.0000	
1949	6	406529.0000	
1949	7	198444.0000	
1949	8	128300.0000	
1949	9	91604.0000	
1949	10	88092.0000	
1949	11	91956.0000	
1949	12	99910.0000	
1950	1	82275.0000	
1950	2	89598.0000	
1950	3	143600.0000	
1950	4	239926.0000	
1950	5	402246.0000	
1950	6	636181.0000	
1950	7	451862.0000	
1950	8	185091.0000	
1950	9	104439.0000	
1950	10	105244.0000	
1950	11	144854.0000	
1950	12	147472.0000	
1951	1	153893.0000	
1951	2	181694.0000	
1951	3	123741.0000	
1951	4	351547.0000	
1951	5	573567.0000	
1951	6	461483.0000	
1951	7	334331.0000	
1951	8	166835.0000	
1951	9	109664.0000	
1951	10	132356.0000	
1951	11	115259.0000	
1951	12	122859.0000	
1952	1	82943.0000	
1952	2	110410.0000	
1952	3	90339.0000	
1952	4	276166.0000	
1952	5	597211.0000	
1952	6	447592.0000	
1952	7	271305.0000	
1952	8	148159.0000	
1952	9	88432.0000	
1952	10	53034.0000	
1952	11	52633.0000	
1952	12	49353.0000	
1953	1	132174.0000	
1953	2	138473.0000	
1953	3	112353.0000	
1953	4	135610.0000	
1953	5	392974.0000	
1953	6	483586.0000	
1953	7	301397.0000	
1953	8	157144.0000	
1953	9	99355.0000	
1953	10	77143.0000	
1953	11	80403.0000	
1953	12	96332.0000	
1954	1	80506.0000	
1954	2	103321.0000	
1954	3	116430.0000	
1954	4	187048.0000	
1954	5	418967.0000	
1954	6	405271.0000	
1954	7	380157.0000	
1954	8	177291.0000	
1954	9	162424.0000	
1954	10	93973.0000	
1954	11	95196.0000	
1954	12	80935.0000	
1955	1	75615.0000	
1955	2	68084.0000	
1955	3	69100.0000	
1955	4	128430.0000	
1955	5	268703.0000	
1955	6	388228.0000	
1955	7	317161.0000	
1955	8	168188.0000	
1955	9	97307.0000	
1955	10	103418.0000	
1955	11	107642.0000	
1955	12	129123.0000	
1956	1	147235.0000	
1956	2	93208.0000	
1956	3	136280.0000	
1956	4	355485.0000	
1956	5	622099.0000	
1956	6	757360.0000	
1956	7	318554.0000	
1956	8	154739.0000	
1956	9	95379.0000	
1956	10	90805.0000	
1956	11	87137.0000	
1956	12	88615.0000	
1957	1	62693.0000	
1957	2	62742.0000	
1957	3	118100.0000	
1957	4	181217.0000	
1957	5	580386.0000	
1957	6	492096.0000	
1957	7	208342.0000	
1957	8	133821.0000	
1957	9	86812.0000	
1957	10	75333.0000	
1957	11	73822.0000	
1957	12	77423.0000	
1958	1	85990.0000	
1958	2	138661.0000	
1958	3	141314.0000	
1958	4	240477.0000	
1958	5	534746.0000	
1958	6	537329.0000	
1958	7	202191.0000	
1958	8	123353.0000	
1958	9	83055.0000	
1958	10	83813.0000	
1958	11	111541.0000	
1958	12	94541.0000	
1959	1	130146.0000	
1959	2	128068.0000	
1959	3	114068.0000	
1959	4	260110.0000	
1959	5	418388.0000	
1959	6	501854.0000	
1959	7	379287.0000	
1959	8	167988.0000	
1959	9	134588.0000	
1959	10	127435.0000	
1959	11	114664.0000	
