Canadian River near Sanchez, NM
Arkansas River Basin
Annual (Water Year, Oct-Sep) streamflow reconstruction
Values in acre-feet
Recon = reconstruction
Observed = flow record from New Mexico Interstate Stream Commission
Recon Interval: 1604-1997		
Observed Interval: 1937-1997		
PI: C. Woodhouse
Reference: n/a		
URL: http://treeflow.info/riogr/canadian.html

==========
Year     Recon  Observed
1878     81894     -9999   
1879     80576     -9999   
1880     50693     -9999   
1881     97908     -9999   
1882     81588     -9999   
1883     39104     -9999   
1884    129135     -9999   
1885     57130     -9999   
1886     76292     -9999   
1887     86752     -9999   
1888     43707     -9999   
1889     46875     -9999   
1890     50603     -9999   
1891     59223     -9999   
1892    105671     -9999   
1893     57548     -9999   
1894     47635     -9999   
1895    112822     -9999   
1896     78346     -9999   
1897    132642     -9999   
1898    126797     -9999   
1899     25489     -9999   
1900    104548     -9999   
1901     50082     -9999   
1902     18213     -9999   
1903    126458     -9999   
1904     57004     -9999   
1905     94510     -9999   
1906     59059     -9999   
1907    116298     -9999   
1908     28720     -9999   
1909     77303     -9999   
1910     97375     -9999   
1911     85578     -9999   
1912    126852     -9999   
1913    144679     -9999   
1914    206044     -9999   
1915     88689     -9999   
1916     83103     -9999   
1917    107014     -9999   
1918     70506     -9999   
1919    314215     -9999   
1920    119340     -9999   
1921    385793     -9999   
1922    108839     -9999   
1923     38199     -9999   
1924    250273     -9999   
1925     41969     -9999   
1926    132431     -9999   
1927    140395     -9999   
1928    106003     -9999   
1929    141419     -9999   
1930    153542     -9999   
1931    238824     -9999   
1932    166940     -9999   
1933    119412     -9999   
1934     61176     -9999   
1935     92204     -9999   
1936     52340     -9999   
1937    100037    190642
1938    151343    140172
1939    110592    116619
1940     54086     34143
1941    292628    656474
1942    294656    862224
1943    125825    132884
1944    234266    120727
1945     96911     75971
1946     58861    122041
1947    161383    124910
1948    244682    138176
1949    301193    106662
1950     76511     88982
1951     61207     85523
1952    100063     91482
1953     55019     90516
1954     21735     14263
1955    111281    257007
1956     37299     28795
1957     79985     72263
1958    125520    332609
1959     60471     63471
1960    155878     74248
1961    203463    210224
1962    129333     80248
1963     51029     50874
1964     44826     16131
1965    103578    366699
1966     65610     80563
1967     63194     92070
1968     63570     74823
1969    117927    110869
1970    125813     72214
1971     41031     41142
1972     60449     85211
1973    125374    179880
1974     37506     19272
1975     51281     27886
1976     41132     18462
1977     41293     44511
1978     17523     16517
1979    185059    138327
1980     88041     66534
1981     26269     71381
1982    141861    107811
1983    193825    109123
1984     70733     58052
1985    201764    156158
1986     96586     79315
1987    177082    335806
1988     53687     66278
1989     76350     49110
1990     70734     50993
1991    123877    156119
1992    143246    116750
1993    118782    101392
1994    131183    232513
1995    178815    234553
1996     38662     68853
1997    169793    145492
